company;year;ca;ppe;ebit;rd;personnel;groupe
Adama Solutions;2023;7.7262;3.9167;-0.1071;0.219;0.85;INDUS
Adama Solutions;2024;8.2857;4.1714;0.131;0.2333;0.88;INDUS
Adidas (EU);2015;16.9;1.8;1.0;0.1;5.5;INDUS
Adidas (EU);2016;19.3;2.1;1.5;0.2;6.0;INDUS
Adidas (EU);2017;21.2;2.4;2.1;0.2;5.6;INDUS
Adidas (EU);2018;21.9;2.6;2.4;0.2;5.7;INDUS
Adidas (EU);2019;23.6;2.8;2.7;0.2;5.9;INDUS
Adidas (EU);2020;18.4;3.1;0.4;0.2;6.2;INDUS
Adidas (EU);2021;21.2;3.2;2.0;0.2;6.1;INDUS
Adidas (EU);2022;22.5;3.4;0.7;0.2;5.9;INDUS
Adidas (EU);2023;21.4;3.3;0.3;0.2;5.9;INDUS
Adidas (EU);2024;22.8;3.4;1.1;0.2;6.0;INDUS
Adient (US);2015;20.1;1.85;1.25;0.55;7.5;INDUS
Adient (US);2016;16.85;1.75;1.15;0.52;7.5;INDUS
Adient (US);2017;16.2;1.65;0.95;0.48;8.5;INDUS
Adient (US);2018;17.4;1.72;0.75;0.52;8.6;INDUS
Adient (US);2019;16.5;1.82;0.65;0.51;8.3;INDUS
Adient (US);2020;12.7;1.85;0.15;0.42;7.7;INDUS
Adient (US);2021;13.7;1.75;0.45;0.45;7.5;INDUS
Adient (US);2022;14.1;1.65;0.35;0.41;7.0;INDUS
Adient (US);2023;15.4;1.62;0.48;0.42;7.2;INDUS
Adient (US);2024;15.1;1.65;0.55;0.44;7.1;INDUS
Advantest (JP);2015;2.39;0.36;0.6;0.24;0.44;INDUS
Advantest (JP);2016;2.61;0.39;0.65;0.26;0.46;INDUS
Advantest (JP);2017;2.84;0.43;0.71;0.28;0.49;INDUS
Advantest (JP);2018;3.1;0.46;0.78;0.31;0.51;INDUS
Advantest (JP);2019;3.38;0.51;0.84;0.34;0.54;INDUS
Advantest (JP);2020;3.68;0.55;0.92;0.37;0.57;INDUS
Advantest (JP);2021;4.02;0.6;1.0;0.4;0.6;INDUS
Advantest (JP);2022;4.38;0.66;1.09;0.44;0.63;INDUS
Advantest (JP);2023;4.77;0.72;1.19;0.48;0.66;INDUS
Advantest (JP);2024;5.2;0.78;1.3;0.52;0.7;INDUS
Agilent (US);2015;4.04;0.75;0.65;0.33;1.2;INDUS
Agilent (US);2016;4.2;0.78;0.72;0.34;1.2;INDUS
Agilent (US);2017;4.47;0.82;0.85;0.36;1.3;INDUS
Agilent (US);2018;4.91;0.85;1.05;0.39;1.4;INDUS
Agilent (US);2019;5.16;0.88;1.12;0.41;1.6;INDUS
Agilent (US);2020;5.34;0.92;1.15;0.42;1.6;INDUS
Agilent (US);2021;6.32;0.98;1.45;0.45;1.7;INDUS
Agilent (US);2022;6.85;1.05;1.65;0.48;1.8;INDUS
Agilent (US);2023;6.83;1.12;1.52;0.52;1.8;INDUS
Agilent (US);2024;7.15;1.15;1.65;0.55;1.85;INDUS
Air Liquide (EU);2015;18.2;14.2;2.8;0.3;5.2;INDUS
Air Liquide (EU);2016;18.1;15.5;2.6;0.3;6.6;INDUS
Air Liquide (EU);2017;20.3;16.1;3.1;0.3;6.5;INDUS
Air Liquide (EU);2018;21.0;16.8;3.4;0.3;6.6;INDUS
Air Liquide (EU);2019;21.9;17.4;3.8;0.3;6.7;INDUS
Air Liquide (EU);2020;20.5;18.2;3.8;0.3;6.4;INDUS
Air Liquide (EU);2021;23.3;19.5;4.2;0.4;6.6;INDUS
Air Liquide (EU);2022;29.9;21.2;4.8;0.4;6.7;INDUS
Air Liquide (EU);2023;27.6;21.8;5.1;0.4;6.8;INDUS
Air Liquide (EU);2024;29.5;22.1;4.5;0.5;6.7;INDUS
Airbus (EU);2015;64.2;16.5;4.1;2.8;13.6;INDUS
Airbus (EU);2016;66.8;17.2;3.9;3.0;13.4;INDUS
Airbus (EU);2017;67.1;17.8;4.2;2.8;12.9;INDUS
Airbus (EU);2018;64.0;18.5;5.0;3.2;13.4;INDUS
Airbus (EU);2019;70.5;19.1;1.3;3.4;13.5;INDUS
Airbus (EU);2020;50.2;18.2;-0.5;2.8;13.1;INDUS
Airbus (EU);2021;52.5;17.5;5.3;2.7;12.6;INDUS
Airbus (EU);2022;58.8;17.8;5.6;3.1;13.4;INDUS
Airbus (EU);2023;65.4;18.4;4.6;3.2;14.8;INDUS
Airbus (EU);2024;68.2;19.2;5.1;3.5;15.2;INDUS
Aisin Corp (JP);2015;27.25;8.5;1.35;1.25;9.5;INDUS
Aisin Corp (JP);2016;31.5;8.85;1.85;1.42;10.2;INDUS
Aisin Corp (JP);2017;32.1;9.25;2.15;1.55;11.0;INDUS
Aisin Corp (JP);2018;35.8;9.65;2.25;1.65;11.5;INDUS
Aisin Corp (JP);2019;36.45;10.15;1.85;1.75;11.8;INDUS
Aisin Corp (JP);2020;32.5;10.5;1.25;1.85;12.0;INDUS
Aisin Corp (JP);2021;35.15;10.85;1.45;1.78;11.8;INDUS
Aisin Corp (JP);2022;36.8;11.2;1.52;1.82;11.6;INDUS
Aisin Corp (JP);2023;33.5;11.5;1.45;1.85;11.4;INDUS
Aisin Corp (JP);2024;35.2;11.85;1.65;1.95;11.6;INDUS
AkzoNobel (EU);2015;14.9;3.5;1.5;0.4;4.7;INDUS
AkzoNobel (EU);2016;14.2;3.3;1.5;0.4;4.6;INDUS
AkzoNobel (EU);2017;14.6;3.2;1.4;0.4;4.6;INDUS
AkzoNobel (EU);2018;9.3;2.1;0.8;0.2;3.5;INDUS
AkzoNobel (EU);2019;9.3;2.2;1.0;0.2;3.4;INDUS
AkzoNobel (EU);2020;8.5;2.3;1.0;0.2;3.2;INDUS
AkzoNobel (EU);2021;9.6;2.2;1.1;0.2;3.3;INDUS
AkzoNobel (EU);2022;10.8;2.3;0.8;0.3;3.5;INDUS
AkzoNobel (EU);2023;10.7;2.4;1.0;0.3;3.5;INDUS
AkzoNobel (EU);2024;10.9;2.5;1.2;0.3;3.5;INDUS
Allison Transmission (US);2015;1.98;0.65;0.65;0.12;0.27;INDUS
Allison Transmission (US);2016;1.84;0.62;0.58;0.11;0.26;INDUS
Allison Transmission (US);2017;2.26;0.65;0.82;0.14;0.28;INDUS
Allison Transmission (US);2018;2.71;0.68;1.05;0.15;0.29;INDUS
Allison Transmission (US);2019;2.7;0.75;0.95;0.16;0.29;INDUS
Allison Transmission (US);2020;2.03;0.78;0.52;0.15;0.33;INDUS
Allison Transmission (US);2021;2.4;0.82;0.72;0.17;0.34;INDUS
Allison Transmission (US);2022;2.77;0.85;0.85;0.18;0.35;INDUS
Allison Transmission (US);2023;3.03;0.92;0.98;0.19;0.36;INDUS
Allison Transmission (US);2024;3.15;0.98;1.05;0.21;0.38;INDUS
Alstom (EU);2015;6.9;1.2;0.4;0.2;3.1;INDUS
Alstom (EU);2016;7.3;1.3;0.5;0.2;3.3;INDUS
Alstom (EU);2017;8.0;1.4;0.4;0.2;3.3;INDUS
Alstom (EU);2018;8.1;1.4;0.5;0.2;3.5;INDUS
Alstom (EU);2019;8.2;1.5;0.6;0.3;3.6;INDUS
Alstom (EU);2020;8.8;1.6;0.5;0.3;3.9;INDUS
Alstom (EU);2021;14.2;2.1;0.4;0.5;7.1;INDUS
Alstom (EU);2022;15.5;2.3;0.3;0.6;7.4;INDUS
Alstom (EU);2023;17.6;2.5;0.8;0.7;8.0;INDUS
Alstom (EU);2024;18.2;2.7;1.1;0.8;8.4;INDUS
Aluminum Corp;2015;29.3929;24.3143;-0.0357;0.2667;6.52;INDUS
Aluminum Corp;2016;34.3143;25.1071;0.2976;0.3452;6.12;INDUS
Aluminum Corp;2017;42.8857;25.9095;0.981;0.4405;5.85;INDUS
Aluminum Corp;2018;42.9167;26.7738;0.9167;0.5048;5.45;INDUS
Aluminum Corp;2019;45.2667;27.4095;0.5833;0.5833;5.12;INDUS
Aluminum Corp;2020;44.25;28.2024;0.4405;0.6786;4.85;INDUS
Aluminum Corp;2021;64.2238;29.0762;2.8857;0.8381;4.65;INDUS
Aluminum Corp;2022;69.281;30.6786;3.5357;0.981;4.52;INDUS
Aluminum Corp;2023;53.5881;32.1714;3.6;0.9167;4.45;INDUS
Aluminum Corp;2024;59.1714;33.9167;4.3857;1.0762;4.65;INDUS
American Axle (US);2015;3.9;1.25;0.48;0.15;1.3;INDUS
American Axle (US);2016;3.95;1.32;0.52;0.16;1.35;INDUS
American Axle (US);2017;6.27;2.15;0.65;0.25;2.5;INDUS
American Axle (US);2018;7.27;2.35;0.72;0.28;2.65;INDUS
American Axle (US);2019;6.71;2.25;0.45;0.25;2.45;INDUS
American Axle (US);2020;4.71;2.15;0.12;0.22;2.15;INDUS
American Axle (US);2021;5.16;2.05;0.28;0.23;2.05;INDUS
American Axle (US);2022;5.8;1.95;0.32;0.24;2.15;INDUS
American Axle (US);2023;6.08;1.85;0.35;0.25;2.1;INDUS
American Axle (US);2024;6.15;1.92;0.42;0.26;2.15;INDUS
AmorePacific (KR);2015;4.1;1.8;0.7;0.1;0.6;INDUS
AmorePacific (KR);2016;4.8;2.0;0.8;0.1;0.6;INDUS
AmorePacific (KR);2017;4.3;2.2;0.5;0.1;0.6;INDUS
AmorePacific (KR);2018;4.4;2.5;0.4;0.1;0.7;INDUS
AmorePacific (KR);2019;4.6;2.8;0.3;0.1;0.7;INDUS
AmorePacific (KR);2020;3.8;2.7;0.1;0.1;0.6;INDUS
AmorePacific (KR);2021;4.1;2.6;0.3;0.1;0.6;INDUS
AmorePacific (KR);2022;3.5;2.5;0.2;0.1;0.6;INDUS
AmorePacific (KR);2023;3.2;2.4;0.1;0.1;0.5;INDUS
AmorePacific (KR);2024;3.4;2.5;0.2;0.1;0.6;INDUS
Amphenol (US);2015;7.07;1.06;1.41;0.21;6.25;INDUS
Amphenol (US);2016;7.57;1.14;1.51;0.23;6.5;INDUS
Amphenol (US);2017;8.1;1.21;1.62;0.24;6.77;INDUS
Amphenol (US);2018;8.66;1.3;1.73;0.26;7.05;INDUS
Amphenol (US);2019;9.27;1.39;1.85;0.28;7.35;INDUS
Amphenol (US);2020;9.92;1.49;1.98;0.3;7.65;INDUS
Amphenol (US);2021;10.61;1.59;2.12;0.32;7.97;INDUS
Amphenol (US);2022;11.35;1.7;2.27;0.34;8.3;INDUS
Amphenol (US);2023;12.15;1.82;2.43;0.36;8.64;INDUS
Amphenol (US);2024;13.0;1.95;2.6;0.39;9.0;INDUS
Analog Devices (US);2015;3.42;0.65;1.15;0.65;0.9;INDUS
Analog Devices (US);2016;3.41;0.68;1.05;0.68;0.9;INDUS
Analog Devices (US);2017;5.12;1.15;1.45;0.92;1.5;INDUS
Analog Devices (US);2018;6.2;1.25;1.95;1.15;1.6;INDUS
Analog Devices (US);2019;5.99;1.35;1.75;1.12;1.6;INDUS
Analog Devices (US);2020;5.6;1.45;1.52;1.18;1.5;INDUS
Analog Devices (US);2021;7.32;1.85;2.15;1.35;2.5;INDUS
Analog Devices (US);2022;12.01;2.25;3.85;1.85;2.5;INDUS
Analog Devices (US);2023;12.31;2.45;4.15;1.75;2.6;INDUS
Analog Devices (US);2024;12.52;2.65;4.45;1.85;2.7;INDUS
Angel Yeast;2015;1.0024;0.75;0.1476;0.0429;0.82;INDUS
Angel Yeast;2016;1.1548;0.8143;0.2024;0.05;0.85;INDUS
Angel Yeast;2017;1.3762;0.9167;0.2738;0.0595;0.92;INDUS
Angel Yeast;2018;1.5905;1.0119;0.3143;0.0667;0.98;INDUS
Angel Yeast;2019;1.8214;1.1548;0.3452;0.0762;1.05;INDUS
Angel Yeast;2020;2.1238;1.3143;0.4167;0.0905;1.12;INDUS
Angel Yeast;2021;2.5833;1.5357;0.4405;0.1071;1.25;INDUS
Angel Yeast;2022;3.0595;1.7905;0.3929;0.1238;1.35;INDUS
Angel Yeast;2023;3.2333;2.0119;0.3619;0.1381;1.4;INDUS
Angel Yeast;2024;3.4524;2.2024;0.4405;0.1548;1.48;INDUS
Anhui Conch;2015;12.0048;10.7429;2.2667;0.0286;4.52;INDUS
Anhui Conch;2016;13.3167;11.5357;2.8857;0.0357;4.35;INDUS
Anhui Conch;2017;17.931;12.4095;5.1071;0.0524;4.45;INDUS
Anhui Conch;2018;30.5714;13.2976;10.0286;0.1071;4.55;INDUS
Anhui Conch;2019;37.3881;13.9095;11.5524;0.1548;4.65;INDUS
Anhui Conch;2020;41.9619;14.7905;12.2429;0.1952;4.85;INDUS
Anhui Conch;2021;39.9881;15.6071;10.7429;0.2667;4.72;INDUS
Anhui Conch;2022;31.4333;16.3857;5.3452;0.3214;4.62;INDUS
Anhui Conch;2023;33.569;17.1714;3.2976;0.3619;4.55;INDUS
Anhui Conch;2024;36.9333;17.9643;3.8381;0.4405;4.75;INDUS
Anhui Heli;2015;1.3524;0.4405;0.1071;0.0595;0.75;INDUS
Anhui Heli;2016;1.4881;0.5048;0.1238;0.0667;0.78;INDUS
Anhui Heli;2017;2.0048;0.5833;0.1548;0.0833;0.82;INDUS
Anhui Heli;2018;2.3;0.6786;0.1786;0.1;0.85;INDUS
Anhui Heli;2019;2.4095;0.7429;0.2024;0.1143;0.88;INDUS
Anhui Heli;2020;3.0476;0.9167;0.2262;0.131;0.92;INDUS
Anhui Heli;2021;3.6714;1.0762;0.2667;0.1548;0.95;INDUS
Anhui Heli;2022;3.731;1.219;0.2976;0.1714;0.92;INDUS
Anhui Heli;2023;4.1595;1.3929;0.4405;0.2024;0.98;INDUS
Anhui Heli;2024;4.5524;1.5357;0.5048;0.2262;1.05;INDUS
Anjoy Food;2015;0.6071;0.2024;0.0429;0.0095;0.55;INDUS
Anjoy Food;2016;0.719;0.25;0.0524;0.0119;0.62;INDUS
Anjoy Food;2017;0.8286;0.2976;0.0667;0.0143;0.72;INDUS
Anjoy Food;2018;1.0119;0.3452;0.1071;0.019;0.85;INDUS
Anjoy Food;2019;1.25;0.4405;0.1381;0.0286;1.05;INDUS
Anjoy Food;2020;1.6571;0.5357;0.1786;0.0357;1.25;INDUS
Anjoy Food;2021;2.2024;0.6786;0.25;0.0429;1.45;INDUS
Anjoy Food;2022;2.8929;0.869;0.2976;0.0595;1.65;INDUS
Anjoy Food;2023;3.3452;1.0119;0.3929;0.0762;1.75;INDUS
Anjoy Food;2024;3.619;1.1548;0.4643;0.0833;1.85;INDUS
Anker Innovations;2015;0.3095;0.0286;0.0429;0.019;0.05;INDUS
Anker Innovations;2016;0.5952;0.0357;0.0762;0.0357;0.08;INDUS
Anker Innovations;2017;0.931;0.0524;0.1071;0.0595;0.12;INDUS
Anker Innovations;2018;1.2452;0.0833;0.1381;0.0905;0.15;INDUS
Anker Innovations;2019;1.5833;0.1143;0.2024;0.1238;0.18;INDUS
Anker Innovations;2020;2.2262;0.1548;0.2857;0.1786;0.22;INDUS
Anker Innovations;2021;2.9881;0.2024;0.3452;0.2738;0.35;INDUS
Anker Innovations;2022;3.3857;0.25;0.3929;0.3214;0.38;INDUS
Anker Innovations;2023;4.1667;0.2976;0.5;0.3929;0.42;INDUS
Anta Sports;2015;2.6476;0.4405;0.6786;0.0762;1.85;INDUS
Anta Sports;2016;3.1786;0.5048;0.7738;0.0905;2.12;INDUS
Anta Sports;2017;3.9738;0.5833;0.981;0.1071;2.45;INDUS
Anta Sports;2018;5.7381;0.7429;1.3929;0.1548;2.85;INDUS
Anta Sports;2019;8.0786;1.0762;2.0286;0.2024;3.25;INDUS
Anta Sports;2020;8.4548;1.3929;2.1714;0.2262;3.52;INDUS
Anta Sports;2021;11.7452;1.9333;2.6786;0.2976;5.12;INDUS
Anta Sports;2022;12.7738;2.4881;3.0595;0.3452;5.85;INDUS
Anta Sports;2023;14.8476;2.8857;3.8381;0.4405;6.25;INDUS
Anta Sports;2024;16.7738;3.3619;4.4095;0.5357;6.85;INDUS
Applied Mat. (US);2015;9.7;0.8;1.7;1.5;1.5;INDUS
Applied Mat. (US);2016;10.8;0.8;2.1;1.7;1.6;INDUS
Applied Mat. (US);2017;14.5;0.9;3.9;1.8;1.8;INDUS
Applied Mat. (US);2018;17.3;1.1;4.6;2.0;2.1;INDUS
Applied Mat. (US);2019;14.6;1.2;3.3;2.1;2.2;INDUS
Applied Mat. (US);2020;17.2;1.4;4.4;2.2;2.4;INDUS
Applied Mat. (US);2021;23.1;1.6;6.9;2.5;2.7;INDUS
Applied Mat. (US);2022;25.8;1.9;7.8;2.8;3.3;INDUS
Applied Mat. (US);2023;26.5;2.1;7.7;3.0;3.4;INDUS
Applied Mat. (US);2024;27.2;2.3;8.1;3.2;3.5;INDUS
Aptiv (US);2015;15.22;2.55;1.95;1.25;12.9;INDUS
Aptiv (US);2016;12.33;2.65;1.65;1.15;14.5;INDUS
Aptiv (US);2017;12.85;2.85;1.55;1.25;14.7;INDUS
Aptiv (US);2018;14.43;3.05;1.58;1.35;16.2;INDUS
Aptiv (US);2019;14.35;3.25;1.45;1.45;16.0;INDUS
Aptiv (US);2020;13.07;3.55;0.85;1.48;15.1;INDUS
Aptiv (US);2021;15.61;3.85;1.15;1.65;15.5;INDUS
Aptiv (US);2022;17.48;4.05;1.35;1.85;16.0;INDUS
Aptiv (US);2023;20.05;4.35;2.15;2.05;15.4;INDUS
Aptiv (US);2024;19.85;4.55;2.25;2.15;15.2;INDUS
Arista Networks (US);2015;0.83;0.05;0.22;0.18;0.1;INDUS
Arista Networks (US);2016;1.13;0.08;0.31;0.25;0.13;INDUS
Arista Networks (US);2017;1.65;0.12;0.48;0.38;0.18;INDUS
Arista Networks (US);2018;2.15;0.15;0.62;0.52;0.23;INDUS
Arista Networks (US);2019;2.41;0.18;0.68;0.65;0.28;INDUS
Arista Networks (US);2020;2.32;0.21;0.52;0.68;0.32;INDUS
Arista Networks (US);2021;2.95;0.28;0.85;0.82;0.38;INDUS
Arista Networks (US);2022;4.38;0.35;1.52;1.15;0.45;INDUS
Arista Networks (US);2023;5.86;0.42;2.15;1.48;0.52;INDUS
Arista Networks (US);2024;6.45;0.48;2.45;1.65;0.6;INDUS
Arkema (EU);2015;8.5;3.2;0.7;0.2;1.9;INDUS
Arkema (EU);2016;8.3;3.3;0.8;0.2;2.0;INDUS
Arkema (EU);2017;9.2;3.4;1.1;0.2;2.0;INDUS
Arkema (EU);2018;9.7;3.5;1.0;0.2;2.1;INDUS
Arkema (EU);2019;9.6;3.8;0.9;0.3;2.1;INDUS
Arkema (EU);2020;8.8;4.1;0.6;0.3;2.1;INDUS
Arkema (EU);2021;11.1;4.3;1.4;0.3;2.1;INDUS
Arkema (EU);2022;12.5;4.5;1.5;0.3;2.2;INDUS
Arkema (EU);2023;10.5;4.4;0.9;0.3;2.1;INDUS
Arkema (EU);2024;10.8;4.3;1.1;0.3;2.1;INDUS
Asahi Kasei (JP);2015;16.15;5.85;1.35;0.65;3.25;INDUS
Asahi Kasei (JP);2016;16.45;6.15;1.45;0.68;3.35;INDUS
Asahi Kasei (JP);2017;17.15;6.45;1.55;0.72;3.45;INDUS
Asahi Kasei (JP);2018;17.85;6.85;1.65;0.75;3.55;INDUS
Asahi Kasei (JP);2019;18.15;7.15;1.75;0.78;3.65;INDUS
Asahi Kasei (JP);2020;17.52;7.45;1.45;0.75;3.45;INDUS
Asahi Kasei (JP);2021;19.15;7.85;1.85;0.82;3.65;INDUS
Asahi Kasei (JP);2022;21.45;8.45;1.52;0.88;3.85;INDUS
Asahi Kasei (JP);2023;19.85;8.85;1.15;0.85;3.72;INDUS
Asahi Kasei (JP);2024;20.85;9.25;1.65;0.92;3.95;INDUS
Atlas Copco (EU);2015;10.2;0.9;2.04;0.36;4.3;INDUS
Atlas Copco (EU);2016;10.1;0.9;2.0;0.36;4.41;INDUS
Atlas Copco (EU);2017;10.8;0.97;2.16;0.39;4.52;INDUS
Atlas Copco (EU);2018;11.83;1.07;2.38;0.42;4.65;INDUS
Atlas Copco (EU);2019;11.9;1.08;2.4;0.42;4.78;INDUS
Atlas Copco (EU);2020;12.2;1.13;2.46;0.44;4.9;INDUS
Atlas Copco (EU);2021;14.0;1.28;2.82;0.5;5.05;INDUS
Atlas Copco (EU);2022;14.0;1.25;2.9;0.5;5.25;INDUS
Atlas Copco (EU);2023;14.2;1.22;3.0;0.51;5.45;INDUS
Atlas Copco (EU);2024;14.6;1.24;3.1;0.52;5.65;INDUS
Autoliv (US);2015;9.17;1.55;0.81;0.58;6.4;INDUS
Autoliv (US);2016;10.07;1.62;0.85;0.62;7.0;INDUS
Autoliv (US);2017;10.38;1.75;0.88;0.68;7.2;INDUS
Autoliv (US);2018;8.67;1.85;0.92;0.72;6.6;INDUS
Autoliv (US);2019;8.54;1.95;0.75;0.75;6.5;INDUS
Autoliv (US);2020;7.44;2.05;0.45;0.71;6.8;INDUS
Autoliv (US);2021;8.23;2.15;0.68;0.82;6.1;INDUS
Autoliv (US);2022;8.84;2.25;0.71;0.85;6.9;INDUS
Autoliv (US);2023;10.47;2.35;0.95;0.91;7.05;INDUS
Autoliv (US);2024;11.1;2.45;1.05;0.95;7.2;INDUS
Avic ITP;2015;7.1714;0.981;0.4405;0.2976;1.12;INDUS
Avic ITP;2016;7.7429;1.0762;0.5048;0.3452;1.25;INDUS
Avic ITP;2017;8.369;1.1548;0.5833;0.3929;1.38;INDUS
Avic ITP;2018;9.1476;1.219;0.6786;0.4405;1.45;INDUS
Avic ITP;2019;9.5524;1.3143;0.7429;0.5048;1.55;INDUS
Avic ITP;2020;10.9167;1.3929;0.8381;0.5833;1.62;INDUS
Avic ITP;2021;12.481;1.5357;0.981;0.6786;1.85;INDUS
Avic ITP;2022;13.1238;1.6952;1.0762;0.7429;1.95;INDUS
Avic ITP;2023;14.0119;1.869;1.219;0.8214;2.12;INDUS
Avic ITP;2024;14.869;2.0286;1.3929;0.981;2.25;INDUS
Avic Joy;2015;1.5524;0.5048;0.0833;0.0357;0.85;INDUS
Avic Joy;2016;1.6952;0.5833;0.1;0.0429;0.92;INDUS
Avic Joy;2017;2.0357;0.6786;0.1548;0.0595;1.05;INDUS
Avic Joy;2018;2.1714;0.7429;0.2024;0.0762;1.15;INDUS
Avic Joy;2019;2.1071;0.8214;0.1071;0.0833;1.08;INDUS
Avic Joy;2020;2.2024;0.9167;0.131;0.1;1.12;INDUS
Avic Joy;2021;2.6476;1.0762;0.2024;0.131;1.25;INDUS
Avic Joy;2022;2.5833;1.219;0.1548;0.1238;1.18;INDUS
Avic Joy;2023;2.9643;1.3929;0.2667;0.1548;1.28;INDUS
Avic Joy;2024;3.2976;1.5524;0.3452;0.1786;1.35;INDUS
Avicopter;2015;2.9643;0.981;0.2024;0.1238;1.12;INDUS
Avicopter;2016;3.1238;1.0595;0.219;0.1548;1.15;INDUS
Avicopter;2017;2.869;1.1476;0.1548;0.1714;1.05;INDUS
Avicopter;2018;3.0595;1.219;0.1786;0.2024;1.12;INDUS
Avicopter;2019;3.5524;1.2976;0.2024;0.25;1.25;INDUS
Avicopter;2020;4.4405;1.3929;0.2667;0.3214;1.45;INDUS
Avicopter;2021;5.1857;1.5357;0.3452;0.3929;1.52;INDUS
Avicopter;2022;4.519;1.6952;0.1238;0.3381;1.35;INDUS
Avicopter;2023;5.3452;1.869;0.2024;0.369;1.45;INDUS
Avicopter;2024;5.981;2.0286;0.2976;0.4405;1.55;INDUS
BAE Systems (EU);2015;26.1;3.2;2.2;1.8;8.3;INDUS
BAE Systems (EU);2016;25.5;3.1;2.3;1.9;8.3;INDUS
BAE Systems (EU);2017;24.8;3.0;2.1;2.0;8.3;INDUS
BAE Systems (EU);2018;23.5;2.9;2.1;2.1;8.6;INDUS
