firm_id;year;Revenue;PPE;EBIT;RD;Personnel;sector;regime
ASML (EU);2019;11.8;2.8;2.8;2.0;2.5;INDUS;SHORT
ASML (EU);2020;14.0;3.4;4.0;2.2;2.8;INDUS;SHORT
ASML (EU);2021;18.6;4.2;6.0;2.5;3.2;INDUS;SHORT
ASML (EU);2022;21.2;5.1;6.5;3.2;3.9;INDUS;SHORT
ASML (EU);2023;27.6;6.2;9.0;4.0;4.2;INDUS;SHORT
ASML (EU);2024;30.5;7.1;10.2;4.5;4.5;INDUS;SHORT
ATS Corp (CA);2015;1.55;0.23;0.16;0.05;0.57;INDUS;SHORT
ATS Corp (CA);2016;1.61;0.24;0.16;0.05;0.58;INDUS;SHORT
ATS Corp (CA);2017;1.67;0.25;0.17;0.05;0.59;INDUS;SHORT
ATS Corp (CA);2018;1.74;0.26;0.17;0.05;0.61;INDUS;SHORT
ATS Corp (CA);2019;1.81;0.27;0.18;0.05;0.62;INDUS;SHORT
ATS Corp (CA);2020;1.88;0.28;0.19;0.06;0.64;INDUS;SHORT
ATS Corp (CA);2021;1.96;0.29;0.2;0.06;0.65;INDUS;SHORT
ATS Corp (CA);2022;2.03;0.3;0.2;0.06;0.67;INDUS;SHORT
ATS Corp (CA);2023;2.12;0.32;0.21;0.06;0.68;INDUS;SHORT
ATS Corp (CA);2024;2.2;0.33;0.22;0.07;0.7;INDUS;SHORT
AbbVie;2015;22.86;3.2;7.54;3.58;2.8;PHARMA;LONG
AbbVie;2016;25.64;3.6;9.47;4.37;3.0;PHARMA;LONG
AbbVie;2017;28.22;4.1;10.71;4.98;3.0;PHARMA;LONG
AbbVie;2018;32.75;4.5;12.65;5.06;3.0;PHARMA;LONG
AbbVie;2019;33.27;4.8;12.9;5.41;3.0;PHARMA;LONG
AbbVie;2020;45.8;6.2;11.45;6.56;4.7;PHARMA;LONG
AbbVie;2021;56.2;6.8;18.21;7.08;5.0;PHARMA;LONG
AbbVie;2022;58.05;7.1;19.78;6.51;5.0;PHARMA;LONG
AbbVie;2023;54.32;7.5;12.75;7.68;5.0;PHARMA;LONG
AbbVie;2024;55.8;7.9;14.2;7.9;5.0;PHARMA;LONG
Abbott Laboratories;2015;20.4;6.1;3.1;1.4;7.4;PHARMA;LONG
Abbott Laboratories;2016;20.85;6.25;2.1;1.42;7.5;PHARMA;LONG
Abbott Laboratories;2017;27.39;8.4;2.3;2.24;9.9;PHARMA;LONG
Abbott Laboratories;2018;30.58;8.8;3.65;2.3;10.3;PHARMA;LONG
Abbott Laboratories;2019;31.9;9.1;4.25;2.44;10.7;PHARMA;LONG
Abbott Laboratories;2020;34.61;9.5;5.3;2.42;10.9;PHARMA;LONG
Abbott Laboratories;2021;43.08;10.1;8.4;2.74;11.3;PHARMA;LONG
Abbott Laboratories;2022;43.65;10.3;8.35;2.89;11.5;PHARMA;LONG
Abbott Laboratories;2023;40.11;10.6;6.8;2.74;11.4;PHARMA;LONG
Abbott Laboratories;2024;41.9;10.9;7.2;2.85;11.5;PHARMA;LONG
Adama Solutions;2015;4.6476;2.0119;0.4405;0.131;0.65;INDUS;SHORT
Adama Solutions;2016;4.7976;2.1071;0.4643;0.1381;0.68;INDUS;SHORT
Adama Solutions;2017;5.3452;2.2024;0.5119;0.1476;0.72;INDUS;SHORT
Adama Solutions;2018;6.1;2.4167;0.5833;0.1619;0.78;INDUS;SHORT
Adama Solutions;2019;6.631;2.6786;0.5119;0.1714;0.82;INDUS;SHORT
Adama Solutions;2020;6.7738;2.9643;0.3619;0.1786;0.85;INDUS;SHORT
Adama Solutions;2021;7.3929;3.2976;0.2976;0.1952;0.88;INDUS;SHORT
Adama Solutions;2022;8.8452;3.6;0.2024;0.2262;0.92;INDUS;SHORT
Adama Solutions;2023;7.7262;3.9167;-0.1071;0.219;0.85;INDUS;SHORT
Adama Solutions;2024;8.2857;4.1714;0.131;0.2333;0.88;INDUS;SHORT
Adient (US);2015;20.1;1.85;1.25;0.55;7.5;INDUS;SHORT
Adient (US);2016;16.85;1.75;1.15;0.52;7.5;INDUS;SHORT
Adient (US);2017;16.2;1.65;0.95;0.48;8.5;INDUS;SHORT
Adient (US);2018;17.4;1.72;0.75;0.52;8.6;INDUS;SHORT
Adient (US);2019;16.5;1.82;0.65;0.51;8.3;INDUS;SHORT
Adient (US);2020;12.7;1.85;0.15;0.42;7.7;INDUS;SHORT
Adient (US);2021;13.7;1.75;0.45;0.45;7.5;INDUS;SHORT
Adient (US);2022;14.1;1.65;0.35;0.41;7.0;INDUS;SHORT
Adient (US);2023;15.4;1.62;0.48;0.42;7.2;INDUS;SHORT
Adient (US);2024;15.1;1.65;0.55;0.44;7.1;INDUS;SHORT
Adobe (US);2015;4.8;0.8;0.9;0.9;1.4;TECH;LONG
Adobe (US);2016;5.9;0.9;1.5;1.0;1.6;TECH;LONG
Adobe (US);2017;7.3;1.1;2.1;1.2;1.8;TECH;LONG
Adobe (US);2018;9.0;1.2;2.8;1.5;2.1;TECH;LONG
Adobe (US);2019;11.2;1.4;3.3;1.9;2.3;TECH;LONG
Adobe (US);2020;12.9;1.6;4.2;2.2;2.3;TECH;LONG
Adobe (US);2021;15.8;1.8;5.8;2.5;2.6;TECH;LONG
Adobe (US);2022;17.6;2.0;6.1;3.0;3.0;TECH;LONG
Adobe (US);2023;19.4;2.2;6.7;3.4;3.0;TECH;LONG
Adobe (US);2024;21.1;2.3;7.3;3.8;3.1;TECH;LONG
Advantest (JP);2015;2.39;0.36;0.6;0.24;0.44;INDUS;SHORT
Advantest (JP);2016;2.61;0.39;0.65;0.26;0.46;INDUS;SHORT
Advantest (JP);2017;2.84;0.43;0.71;0.28;0.49;INDUS;SHORT
Advantest (JP);2018;3.1;0.46;0.78;0.31;0.51;INDUS;SHORT
Advantest (JP);2019;3.38;0.51;0.84;0.34;0.54;INDUS;SHORT
Advantest (JP);2020;3.68;0.55;0.92;0.37;0.57;INDUS;SHORT
Advantest (JP);2021;4.02;0.6;1.0;0.4;0.6;INDUS;SHORT
Advantest (JP);2022;4.38;0.66;1.09;0.44;0.63;INDUS;SHORT
Advantest (JP);2023;4.77;0.72;1.19;0.48;0.66;INDUS;SHORT
Advantest (JP);2024;5.2;0.78;1.3;0.52;0.7;INDUS;SHORT
Agilent (US);2015;4.04;0.75;0.65;0.33;1.2;INDUS;SHORT
Agilent (US);2016;4.2;0.78;0.72;0.34;1.2;INDUS;SHORT
Agilent (US);2017;4.47;0.82;0.85;0.36;1.3;INDUS;SHORT
Agilent (US);2018;4.91;0.85;1.05;0.39;1.4;INDUS;SHORT
Agilent (US);2019;5.16;0.88;1.12;0.41;1.6;INDUS;SHORT
Agilent (US);2020;5.34;0.92;1.15;0.42;1.6;INDUS;SHORT
Agilent (US);2021;6.32;0.98;1.45;0.45;1.7;INDUS;SHORT
Agilent (US);2022;6.85;1.05;1.65;0.48;1.8;INDUS;SHORT
Agilent (US);2023;6.83;1.12;1.52;0.52;1.8;INDUS;SHORT
Agilent (US);2024;7.15;1.15;1.65;0.55;1.85;INDUS;SHORT
Air Liquide (EU);2015;18.2;14.2;2.8;0.3;5.2;INDUS;SHORT
Air Liquide (EU);2016;18.1;15.5;2.6;0.3;6.6;INDUS;SHORT
Air Liquide (EU);2017;20.3;16.1;3.1;0.3;6.5;INDUS;SHORT
Air Liquide (EU);2018;21.0;16.8;3.4;0.3;6.6;INDUS;SHORT
Air Liquide (EU);2019;21.9;17.4;3.8;0.3;6.7;INDUS;SHORT
Air Liquide (EU);2020;20.5;18.2;3.8;0.3;6.4;INDUS;SHORT
Air Liquide (EU);2021;23.3;19.5;4.2;0.4;6.6;INDUS;SHORT
Air Liquide (EU);2022;29.9;21.2;4.8;0.4;6.7;INDUS;SHORT
Air Liquide (EU);2023;27.6;21.8;5.1;0.4;6.8;INDUS;SHORT
Air Liquide (EU);2024;29.5;22.1;4.5;0.5;6.7;INDUS;SHORT
Airbus (EU);2015;64.2;16.5;4.1;2.8;13.6;INDUS;SHORT
Airbus (EU);2016;66.8;17.2;3.9;3.0;13.4;INDUS;SHORT
Airbus (EU);2017;67.1;17.8;4.2;2.8;12.9;INDUS;SHORT
Airbus (EU);2018;64.0;18.5;5.0;3.2;13.4;INDUS;SHORT
Airbus (EU);2019;70.5;19.1;1.3;3.4;13.5;INDUS;SHORT
Airbus (EU);2020;50.2;18.2;-0.5;2.8;13.1;INDUS;SHORT
Airbus (EU);2021;52.5;17.5;5.3;2.7;12.6;INDUS;SHORT
Airbus (EU);2022;58.8;17.8;5.6;3.1;13.4;INDUS;SHORT
Airbus (EU);2023;65.4;18.4;4.6;3.2;14.8;INDUS;SHORT
Airbus (EU);2024;68.2;19.2;5.1;3.5;15.2;INDUS;SHORT
Aisin Corp (JP);2015;27.25;8.5;1.35;1.25;9.5;INDUS;SHORT
Aisin Corp (JP);2016;31.5;8.85;1.85;1.42;10.2;INDUS;SHORT
Aisin Corp (JP);2017;32.1;9.25;2.15;1.55;11.0;INDUS;SHORT
Aisin Corp (JP);2018;35.8;9.65;2.25;1.65;11.5;INDUS;SHORT
Aisin Corp (JP);2019;36.45;10.15;1.85;1.75;11.8;INDUS;SHORT
Aisin Corp (JP);2020;32.5;10.5;1.25;1.85;12.0;INDUS;SHORT
Aisin Corp (JP);2021;35.15;10.85;1.45;1.78;11.8;INDUS;SHORT
Aisin Corp (JP);2022;36.8;11.2;1.52;1.82;11.6;INDUS;SHORT
Aisin Corp (JP);2023;33.5;11.5;1.45;1.85;11.4;INDUS;SHORT
Aisin Corp (JP);2024;35.2;11.85;1.65;1.95;11.6;INDUS;SHORT
Aisino Corp;2015;5.3381;0.2667;0.4405;0.2024;1.45;TECH;LONG
Aisino Corp;2016;6.0286;0.2976;0.5048;0.2262;1.52;TECH;LONG
Aisino Corp;2017;7.1071;0.3452;0.6;0.2667;1.65;TECH;LONG
Aisino Corp;2018;6.6952;0.4405;0.4405;0.2976;1.55;TECH;LONG
Aisino Corp;2019;5.7738;0.5048;0.2667;0.3452;1.42;TECH;LONG
Aisino Corp;2020;5.2667;0.5833;0.2024;0.3214;1.35;TECH;LONG
Aisino Corp;2021;5.8381;0.6786;0.2976;0.369;1.48;TECH;LONG
Aisino Corp;2022;4.719;0.7429;0.1548;0.3381;1.25;TECH;LONG
Aisino Corp;2023;4.4095;0.8214;0.1238;0.2976;1.15;TECH;LONG
Akamai (US);2015;2.51;0.5;0.55;0.3;0.77;TECH;LONG
Akamai (US);2016;2.64;0.53;0.58;0.32;0.79;TECH;LONG
Akamai (US);2017;2.77;0.55;0.61;0.33;0.81;TECH;LONG
Akamai (US);2018;2.91;0.58;0.64;0.35;0.84;TECH;LONG
Akamai (US);2019;3.06;0.61;0.67;0.37;0.86;TECH;LONG
Akamai (US);2020;3.21;0.64;0.71;0.39;0.89;TECH;LONG
Akamai (US);2021;3.37;0.67;0.74;0.4;0.92;TECH;LONG
Akamai (US);2022;3.54;0.71;0.78;0.42;0.94;TECH;LONG
Akamai (US);2023;3.71;0.74;0.82;0.45;0.97;TECH;LONG
Akamai (US);2024;3.9;0.78;0.86;0.47;1.0;TECH;LONG
AkzoNobel (EU);2015;14.9;3.5;1.5;0.4;4.7;INDUS;SHORT
AkzoNobel (EU);2016;14.2;3.3;1.5;0.4;4.6;INDUS;SHORT
AkzoNobel (EU);2017;14.6;3.2;1.4;0.4;4.6;INDUS;SHORT
AkzoNobel (EU);2018;9.3;2.1;0.8;0.2;3.5;INDUS;SHORT
AkzoNobel (EU);2019;9.3;2.2;1.0;0.2;3.4;INDUS;SHORT
AkzoNobel (EU);2020;8.5;2.3;1.0;0.2;3.2;INDUS;SHORT
AkzoNobel (EU);2021;9.6;2.2;1.1;0.2;3.3;INDUS;SHORT
AkzoNobel (EU);2022;10.8;2.3;0.8;0.3;3.5;INDUS;SHORT
AkzoNobel (EU);2023;10.7;2.4;1.0;0.3;3.5;INDUS;SHORT
AkzoNobel (EU);2024;10.9;2.5;1.2;0.3;3.5;INDUS;SHORT
Alibaba;2015;18.1429;3.5119;5.5048;2.5357;3.49;TECH;LONG
Alibaba;2016;24.081;4.7262;6.9333;3.2738;3.64;TECH;LONG
Alibaba;2017;37.6833;7.1714;11.4571;4.0619;5.01;TECH;LONG
Alibaba;2018;59.5881;10.9167;16.5048;5.4167;6.64;TECH;LONG
Alibaba;2019;89.7238;17.8857;19.1952;8.9167;10.19;TECH;LONG
Alibaba;2020;121.3595;25.1071;21.7667;10.25;11.76;TECH;LONG
Alibaba;2021;170.7833;34.5524;21.3452;13.631;25.15;TECH;LONG
Alibaba;2022;203.1095;40.9167;16.5833;13.2024;25.49;TECH;LONG
Alibaba;2023;206.831;41.9333;23.8857;13.5119;23.52;TECH;LONG
Allison Transmission (US);2015;1.98;0.65;0.65;0.12;0.27;INDUS;SHORT
Allison Transmission (US);2016;1.84;0.62;0.58;0.11;0.26;INDUS;SHORT
Allison Transmission (US);2017;2.26;0.65;0.82;0.14;0.28;INDUS;SHORT
Allison Transmission (US);2018;2.71;0.68;1.05;0.15;0.29;INDUS;SHORT
Allison Transmission (US);2019;2.7;0.75;0.95;0.16;0.29;INDUS;SHORT
Allison Transmission (US);2020;2.03;0.78;0.52;0.15;0.33;INDUS;SHORT
Allison Transmission (US);2021;2.4;0.82;0.72;0.17;0.34;INDUS;SHORT
Allison Transmission (US);2022;2.77;0.85;0.85;0.18;0.35;INDUS;SHORT
Allison Transmission (US);2023;3.03;0.92;0.98;0.19;0.36;INDUS;SHORT
Allison Transmission (US);2024;3.15;0.98;1.05;0.21;0.38;INDUS;SHORT
Alphabet (US);2015;75.0;29.0;19.4;12.3;6.1;TECH;LONG
Alphabet (US);2016;90.3;34.2;23.7;13.9;7.2;TECH;LONG
Alphabet (US);2017;110.9;42.3;26.1;16.6;8.0;TECH;LONG
Alphabet (US);2018;136.8;59.7;26.3;21.4;9.8;TECH;LONG
Alphabet (US);2019;161.9;71.3;34.2;26.0;11.8;TECH;LONG
Alphabet (US);2020;182.5;81.5;41.2;27.6;13.5;TECH;LONG
Alphabet (US);2021;257.6;97.4;78.7;31.5;15.6;TECH;LONG
Alphabet (US);2022;282.8;103.2;74.8;39.5;19.0;TECH;LONG
Alphabet (US);2023;307.4;110.5;84.3;45.4;18.2;TECH;LONG
Alphabet (US);2024;328.0;122.1;95.6;48.5;18.0;TECH;LONG
Alstom (EU);2015;6.9;1.2;0.4;0.2;3.1;INDUS;SHORT
Alstom (EU);2016;7.3;1.3;0.5;0.2;3.3;INDUS;SHORT
Alstom (EU);2017;8.0;1.4;0.4;0.2;3.3;INDUS;SHORT
Alstom (EU);2018;8.1;1.4;0.5;0.2;3.5;INDUS;SHORT
Alstom (EU);2019;8.2;1.5;0.6;0.3;3.6;INDUS;SHORT
Alstom (EU);2020;8.8;1.6;0.5;0.3;3.9;INDUS;SHORT
Alstom (EU);2021;14.2;2.1;0.4;0.5;7.1;INDUS;SHORT
Alstom (EU);2022;15.5;2.3;0.3;0.6;7.4;INDUS;SHORT
Alstom (EU);2023;17.6;2.5;0.8;0.7;8.0;INDUS;SHORT
Alstom (EU);2024;18.2;2.7;1.1;0.8;8.4;INDUS;SHORT
Aluminum Corp;2015;29.3929;24.3143;-0.0357;0.2667;6.52;INDUS;SHORT
Aluminum Corp;2016;34.3143;25.1071;0.2976;0.3452;6.12;INDUS;SHORT
Aluminum Corp;2017;42.8857;25.9095;0.981;0.4405;5.85;INDUS;SHORT
Aluminum Corp;2018;42.9167;26.7738;0.9167;0.5048;5.45;INDUS;SHORT
Aluminum Corp;2019;45.2667;27.4095;0.5833;0.5833;5.12;INDUS;SHORT
Aluminum Corp;2020;44.25;28.2024;0.4405;0.6786;4.85;INDUS;SHORT
Aluminum Corp;2021;64.2238;29.0762;2.8857;0.8381;4.65;INDUS;SHORT
Aluminum Corp;2022;69.281;30.6786;3.5357;0.981;4.52;INDUS;SHORT
Aluminum Corp;2023;53.5881;32.1714;3.6;0.9167;4.45;INDUS;SHORT
Aluminum Corp;2024;59.1714;33.9167;4.3857;1.0762;4.65;INDUS;SHORT
Amazon (US);2015;107.0;21.8;2.2;12.5;23.0;TECH;LONG
Amazon (US);2016;136.0;29.1;4.2;16.1;34.1;TECH;LONG
Amazon (US);2017;177.9;48.8;4.1;22.6;56.6;TECH;LONG
Amazon (US);2018;232.9;61.7;12.4;28.8;64.7;TECH;LONG
Amazon (US);2019;280.5;97.8;14.5;35.9;79.8;TECH;LONG
Amazon (US);2020;386.1;113.1;22.9;42.7;129.8;TECH;LONG
Amazon (US);2021;469.8;160.3;24.9;56.1;160.8;TECH;LONG
Amazon (US);2022;514.0;186.7;12.2;73.2;154.1;TECH;LONG
Amazon (US);2023;574.8;195.4;36.9;85.2;152.5;TECH;LONG
Amazon (US);2024;615.2;210.5;48.5;92.0;155.0;TECH;LONG
American Axle (US);2015;3.9;1.25;0.48;0.15;1.3;INDUS;SHORT
American Axle (US);2016;3.95;1.32;0.52;0.16;1.35;INDUS;SHORT
American Axle (US);2017;6.27;2.15;0.65;0.25;2.5;INDUS;SHORT
American Axle (US);2018;7.27;2.35;0.72;0.28;2.65;INDUS;SHORT
American Axle (US);2019;6.71;2.25;0.45;0.25;2.45;INDUS;SHORT
American Axle (US);2020;4.71;2.15;0.12;0.22;2.15;INDUS;SHORT
American Axle (US);2021;5.16;2.05;0.28;0.23;2.05;INDUS;SHORT
American Axle (US);2022;5.8;1.95;0.32;0.24;2.15;INDUS;SHORT
American Axle (US);2023;6.08;1.85;0.35;0.25;2.1;INDUS;SHORT
American Axle (US);2024;6.15;1.92;0.42;0.26;2.15;INDUS;SHORT
Amgen;2015;21.66;5.8;8.6;4.07;1.79;PHARMA;LONG
Amgen;2016;22.99;5.7;9.4;3.84;1.92;PHARMA;LONG
Amgen;2017;22.85;5.6;9.5;3.56;1.98;PHARMA;LONG
Amgen;2018;23.75;5.5;9.7;3.74;2.15;PHARMA;LONG
Amgen;2019;23.36;5.4;9.1;4.01;2.34;PHARMA;LONG
Amgen;2020;25.42;5.5;9.3;4.4;2.43;PHARMA;LONG
Amgen;2021;25.98;5.6;9.45;4.82;2.42;PHARMA;LONG
Amgen;2022;26.32;5.4;9.58;4.43;2.52;PHARMA;LONG
Amgen;2023;28.19;6.1;8.76;4.8;2.67;PHARMA;LONG
Amgen;2024;33.4;7.8;9.2;5.4;2.75;PHARMA;LONG
Amphenol (US);2015;7.07;1.06;1.41;0.21;6.25;INDUS;SHORT
Amphenol (US);2016;7.57;1.14;1.51;0.23;6.5;INDUS;SHORT
Amphenol (US);2017;8.1;1.21;1.62;0.24;6.77;INDUS;SHORT
Amphenol (US);2018;8.66;1.3;1.73;0.26;7.05;INDUS;SHORT
Amphenol (US);2019;9.27;1.39;1.85;0.28;7.35;INDUS;SHORT
Amphenol (US);2020;9.92;1.49;1.98;0.3;7.65;INDUS;SHORT
Amphenol (US);2021;10.61;1.59;2.12;0.32;7.97;INDUS;SHORT
Amphenol (US);2022;11.35;1.7;2.27;0.34;8.3;INDUS;SHORT
Amphenol (US);2023;12.15;1.82;2.43;0.36;8.64;INDUS;SHORT
Amphenol (US);2024;13.0;1.95;2.6;0.39;9.0;INDUS;SHORT
Analog Devices (US);2015;3.42;0.65;1.15;0.65;0.9;INDUS;SHORT
Analog Devices (US);2016;3.41;0.68;1.05;0.68;0.9;INDUS;SHORT
Analog Devices (US);2017;5.12;1.15;1.45;0.92;1.5;INDUS;SHORT
Analog Devices (US);2018;6.2;1.25;1.95;1.15;1.6;INDUS;SHORT
Analog Devices (US);2019;5.99;1.35;1.75;1.12;1.6;INDUS;SHORT
Analog Devices (US);2020;5.6;1.45;1.52;1.18;1.5;INDUS;SHORT
Analog Devices (US);2021;7.32;1.85;2.15;1.35;2.5;INDUS;SHORT
Analog Devices (US);2022;12.01;2.25;3.85;1.85;2.5;INDUS;SHORT
Analog Devices (US);2023;12.31;2.45;4.15;1.75;2.6;INDUS;SHORT
Analog Devices (US);2024;12.52;2.65;4.45;1.85;2.7;INDUS;SHORT
Anhui Conch;2015;12.0048;10.7429;2.2667;0.0286;4.52;INDUS;SHORT
Anhui Conch;2016;13.3167;11.5357;2.8857;0.0357;4.35;INDUS;SHORT
Anhui Conch;2017;17.931;12.4095;5.1071;0.0524;4.45;INDUS;SHORT
Anhui Conch;2018;30.5714;13.2976;10.0286;0.1071;4.55;INDUS;SHORT
Anhui Conch;2019;37.3881;13.9095;11.5524;0.1548;4.65;INDUS;SHORT
Anhui Conch;2020;41.9619;14.7905;12.2429;0.1952;4.85;INDUS;SHORT
Anhui Conch;2021;39.9881;15.6071;10.7429;0.2667;4.72;INDUS;SHORT
Anhui Conch;2022;31.4333;16.3857;5.3452;0.3214;4.62;INDUS;SHORT
Anhui Conch;2023;33.569;17.1714;3.2976;0.3619;4.55;INDUS;SHORT
Anhui Conch;2024;36.9333;17.9643;3.8381;0.4405;4.75;INDUS;SHORT
Anhui Heli;2015;1.3524;0.4405;0.1071;0.0595;0.75;INDUS;SHORT
Anhui Heli;2016;1.4881;0.5048;0.1238;0.0667;0.78;INDUS;SHORT
Anhui Heli;2017;2.0048;0.5833;0.1548;0.0833;0.82;INDUS;SHORT
Anhui Heli;2018;2.3;0.6786;0.1786;0.1;0.85;INDUS;SHORT
Anhui Heli;2019;2.4095;0.7429;0.2024;0.1143;0.88;INDUS;SHORT
Anhui Heli;2020;3.0476;0.9167;0.2262;0.131;0.92;INDUS;SHORT
Anhui Heli;2021;3.6714;1.0762;0.2667;0.1548;0.95;INDUS;SHORT
Anhui Heli;2022;3.731;1.219;0.2976;0.1714;0.92;INDUS;SHORT
Anhui Heli;2023;4.1595;1.3929;0.4405;0.2024;0.98;INDUS;SHORT
Anhui Heli;2024;4.5524;1.5357;0.5048;0.2262;1.05;INDUS;SHORT
Anker Innovations;2015;0.3095;0.0286;0.0429;0.019;0.05;INDUS;SHORT
Anker Innovations;2016;0.5952;0.0357;0.0762;0.0357;0.08;INDUS;SHORT
Anker Innovations;2017;0.931;0.0524;0.1071;0.0595;0.12;INDUS;SHORT
Anker Innovations;2018;1.2452;0.0833;0.1381;0.0905;0.15;INDUS;SHORT
Anker Innovations;2019;1.5833;0.1143;0.2024;0.1238;0.18;INDUS;SHORT
Anker Innovations;2020;2.2262;0.1548;0.2857;0.1786;0.22;INDUS;SHORT
Anker Innovations;2021;2.9881;0.2024;0.3452;0.2738;0.35;INDUS;SHORT
Anker Innovations;2022;3.3857;0.25;0.3929;0.3214;0.38;INDUS;SHORT
Anker Innovations;2023;4.1667;0.2976;0.5;0.3929;0.42;INDUS;SHORT
Apple (US);2015;233.7;22.5;71.2;8.1;11.0;TECH;LONG
Apple (US);2016;215.6;27.0;60.0;10.0;11.6;TECH;LONG
Apple (US);2017;229.2;33.8;61.3;11.6;12.3;TECH;LONG
